Date,FEZ US Equity  (R1),SPX Index  (L1)
11/21/2014,38.755,2063.5
11/24/2014,39.27,2069.41
11/25/2014,39.53,2067.03
11/26/2014,39.7,2072.83
11/28/2014,39.62,2067.56
12/1/2014,39.555,2053.44
12/2/2014,39.45,2066.55
12/3/2014,39.31,2074.33
12/4/2014,39.01,2071.92
12/5/2014,39.49,2075.37
12/8/2014,39.09,2060.31
12/9/2014,38.75,2059.82
12/10/2014,38.26,2026.14
12/11/2014,38.18,2035.33
12/12/2014,37.21,2002.33
12/15/2014,36.46,1989.63
12/16/2014,36.83,1972.74
12/17/2014,37.4,2012.89
12/18/2014,38.24,2061.23
12/19/2014,37.53,2070.65
12/22/2014,37.77,2078.54
12/23/2014,37.88,2082.17
12/24/2014,38.03,2081.88
12/26/2014,38.07,2088.77
12/29/2014,37.77,2090.57
12/30/2014,37.18,2080.35
12/31/2014,36.86,2058.9
1/2/2015,36.83,2058.2
1/5/2015,35.26,2020.58
1/6/2015,34.86,2002.61
1/7/2015,35.27,2025.9
1/8/2015,35.8,2062.14
1/9/2015,35.26,2044.81
1/12/2015,35.44,2028.26
1/13/2015,35.61,2023.03
1/14/2015,35.72,2011.27
1/15/2015,35.63,1992.67
1/16/2015,36.4,2019.42
1/20/2015,36.71,2022.55
1/21/2015,37.07,2032.12
1/22/2015,37.22,2063.15
1/23/2015,36.94,2051.82
1/26/2015,37.63,2057.09
1/27/2015,37.51,2029.55
1/28/2015,36.6,2002.16
1/29/2015,37.6,2021.25
1/30/2015,36.89,1994.99
2/2/2015,37.55,2020.85
2/3/2015,38.47,2050.03
2/4/2015,37.65,2041.51
2/5/2015,38.28,2062.52
2/6/2015,37.35,2055.47
2/9/2015,37.03,2046.74
2/10/2015,37.56,2068.59
2/11/2015,37.32,2068.53
2/12/2015,38.33,2088.48
2/13/2015,38.5,2096.99
2/17/2015,38.58,2100.34
2/18/2015,38.62,2099.68
2/19/2015,38.62,2097.45
2/20/2015,39.21,2110.3
2/23/2015,38.94,2109.66
2/24/2015,39.39,2115.48
2/25/2015,39.34,2113.86
2/26/2015,39.11,2110.74
2/27/2015,39.26,2104.5
3/2/2015,39.34,2117.39
3/3/2015,38.96,2107.78
3/4/2015,38.88,2098.53
3/5/2015,38.99,2101.04
3/6/2015,38.18,2071.26
3/9/2015,38.34,2079.43
3/10/2015,37.38,2044.16
3/11/2015,37.65,2040.24
3/12/2015,37.94,2065.95
3/13/2015,37.67,2053.4
3/16/2015,38.33,2081.19
3/17/2015,38.16,2074.28
3/18/2015,38.77,2099.5
3/19/2015,38.19,2089.27
3/20/2015,39.29,2108.1
3/23/2015,39.47,2104.42
3/24/2015,39.67,2091.5
3/25/2015,39.39,2061.05
3/26/2015,39.05,2056.15
3/27/2015,39.24,2061.02
3/30/2015,39.38,2086.24
3/31/2015,38.82,2067.89
4/1/2015,39.16,2059.69
4/2/2015,39.57,2066.96
4/6/2015,39.99,2080.62
4/7/2015,39.74,2076.33
4/8/2015,39.63,2081.9
4/9/2015,39.53,2091.18
4/10/2015,39.63,2102.06
4/13/2015,39.4,2092.43
4/14/2015,39.55,2095.84
4/15/2015,39.68,2106.63
4/16/2015,39.54,2104.99
4/17/2015,38.85,2081.18
4/20/2015,38.98,2100.4
4/21/2015,39.16,2097.29
4/22/2015,39.25,2107.96
4/23/2015,39.36,2112.93
4/24/2015,39.54,2117.69
4/27/2015,40.08,2108.92
4/28/2015,40.07,2114.76
4/29/2015,39.52,2106.85
4/30/2015,39.62,2085.51
5/1/2015,39.99,2108.29
5/4/2015,39.82,2114.49
5/5/2015,39.06,2089.46
5/6/2015,39.59,2080.15
5/7/2015,39.4,2088
5/8/2015,40.33,2116.1
5/11/2015,39.82,2105.33
5/12/2015,39.66,2099.12
5/13/2015,39.76,2098.48
5/14/2015,40.61,2121.1
5/15/2015,40.6,2122.73
5/18/2015,40.36,2129.2
